iter	Logloss
0	0.6866943577
1	0.6813354227
2	0.6772105828
3	0.6753862658
4	0.6733210992
5	0.671125864
6	0.6697502867
7	0.6687033293
8	0.6680982144
9	0.667314507
10	0.6664263053
11	0.6654651041
12	0.6645674417
13	0.6632284862
14	0.6623811789
15	0.6618639565
16	0.6607253834
17	0.6597830425
18	0.6589411674
19	0.6581329234
20	0.6575222542
21	0.6565143601
22	0.655637267
23	0.654929611
24	0.6539571791
25	0.6532503775
26	0.6526706538
27	0.6518630812
28	0.6506918537
29	0.6496182234
30	0.6490348375
31	0.6487202559
32	0.6478084941
33	0.647152597
34	0.6466991576
35	0.6458915849
36	0.6452100525
37	0.6449607798
38	0.6442300521
39	0.6438115255
40	0.6431298099
41	0.6422256167
42	0.6415315107
43	0.6408726838
44	0.640364922
45	0.6395016842
46	0.6388002539
47	0.6382450668
48	0.6374753978
49	0.6366758209
50	0.6356919141
51	0.6352743641
52	0.6343593064
53	0.6335635748
54	0.6328006198
55	0.6317211301
56	0.6310712145
57	0.6301802661
58	0.6294754788
59	0.6288762845
60	0.6280871448
61	0.6270642358
62	0.6262672835
63	0.6259094271
64	0.6251409178
65	0.6242721257
66	0.6237751673
67	0.6235169833
68	0.6230856391
69	0.6224057546
70	0.6220622417
71	0.6213962125
72	0.620540116
73	0.6196788313
74	0.6192098887
75	0.6186199719
76	0.6179651123
77	0.6174423356
78	0.6167390131
79	0.6160673686
80	0.6156072762
81	0.6150446426
82	0.6143932622
83	0.6136773052
84	0.6132937524
85	0.6124811138
86	0.6116573666
87	0.6108630388
88	0.6099302195
89	0.6093282175
90	0.6084864035
91	0.6081342234
92	0.6074424979
93	0.6065703488
94	0.6058371795
95	0.6050522514
96	0.604585384
97	0.6035434926
98	0.6030202276
99	0.6024980001
100	0.6015685989
101	0.6008938415
102	0.5999794551
103	0.5993980224
104	0.598644406
105	0.5978191938
106	0.5972008951
107	0.596491408
108	0.5960932065
109	0.5953063252
110	0.594393709
111	0.5935992592
112	0.5928984392
113	0.592240833
114	0.5916192383
115	0.5908554288
116	0.5901593087
117	0.5895726878
118	0.5889709299
119	0.5881586575
120	0.5874760875
121	0.5868797618
122	0.5862245971
123	0.5853697823
124	0.584643266
125	0.5836965915
126	0.5832351563
127	0.5823210751
128	0.5815755766
129	0.58118061
130	0.5803923249
131	0.5798430583
132	0.5792982474
133	0.578677202
134	0.5781179255
135	0.5774438395
136	0.576646521
137	0.5759394143
138	0.5753934437
139	0.5744397499
140	0.5735782211
141	0.5727577698
142	0.5720017119
143	0.5712637208
144	0.5707712792
145	0.5701402848
146	0.5697328058
147	0.5690983324
148	0.5684401769
149	0.5678087554
150	0.5673426814
151	0.566473462
152	0.5660345493
153	0.5654140532
154	0.5646948003
155	0.5639781719
156	0.5634255483
157	0.562963808
158	0.5620891564
159	0.5610662473
160	0.5603082363
161	0.5598335562
162	0.5594147244
163	0.5587826925
164	0.5579800638
165	0.5571414847
166	0.5565241625
167	0.5556950441
168	0.5547890197
169	0.5538717647
170	0.553338978
171	0.5527063967
172	0.551965659
173	0.5511208541
174	0.5503498423
175	0.5499898496
176	0.5493003825
177	0.548716142
178	0.5483629244
179	0.5477371182
180	0.5470646191
181	0.5466332138
182	0.5459558929
183	0.5453103719
184	0.5447865575
185	0.5444046528
186	0.5438384791
187	0.5433628835
188	0.5427251752
189	0.5422125305
190	0.5417732515
191	0.5411538541
192	0.5406813713
193	0.5400110085
194	0.539059451
195	0.5385352094
196	0.5379116005
197	0.5374709177
198	0.5368003718
199	0.5362395693
200	0.5359398196
201	0.5355580979
202	0.5349808156
203	0.5343057531
204	0.533839496
205	0.5332216245
206	0.5327824676
207	0.5322996697
208	0.5318598414
209	0.5310681382
210	0.5302644109
211	0.5300245379
212	0.5294331562
213	0.5290503359
214	0.5286910756
215	0.528093041
216	0.5276378315
217	0.5270901519
218	0.526515189
219	0.5257970347
220	0.5255772426
221	0.5248996775
222	0.5240709863
223	0.5235129305
224	0.523232041
225	0.5227631594
226	0.5223623333
227	0.5216941678
228	0.5211651654
229	0.5205170809
230	0.519791236
231	0.5191579833
232	0.5185332758
233	0.5178464942
234	0.5175699383
235	0.5170050464
236	0.516533174
237	0.5159408157
238	0.5153305127
239	0.5149932866
240	0.5145352695
241	0.5140247
242	0.5137730469
243	0.5133609901
244	0.5127736979
245	0.5119534908
246	0.5114879966
247	0.511135603
248	0.5106727029
249	0.5099281809
250	0.5097000268
251	0.5090895408
252	0.5083379996
253	0.5079314056
254	0.507407286
255	0.5068748655
256	0.5063552016
257	0.5059441825
258	0.5054337961
259	0.5050736508
260	0.5044513847
261	0.5040289518
262	0.503564831
263	0.5030120243
264	0.5024717606
265	0.5019437347
266	0.5016397429
267	0.5012523449
268	0.5005345263
269	0.4998142662
270	0.4993143476
271	0.4987186934
272	0.4979578441
273	0.4975268661
274	0.4971280542
275	0.4966972593
276	0.4963293929
277	0.4958188235
278	0.4953346827
279	0.4948659842
280	0.4943956682
281	0.4939024026
282	0.4935999672
283	0.4929184958
284	0.4926683076
285	0.4921683584
286	0.4919257692
287	0.4914929906
288	0.4910124205
289	0.4906894769
290	0.4901952957
291	0.4896011369
292	0.4889660531
293	0.4886981339
294	0.4881587857
295	0.4877792919
296	0.4875260519
297	0.4871543707
298	0.4868024348
299	0.4862823742
300	0.4857784576
301	0.4852753956
302	0.4849873038
303	0.4845823273
304	0.4841371583
305	0.4837205849
306	0.4832361695
307	0.4829548832
308	0.482417122
309	0.4819547103
310	0.4812513573
311	0.4806002515
312	0.4805035698
313	0.4801092442
314	0.4794962861
315	0.4791595788
316	0.4787206661
317	0.4781898325
318	0.4777115512
319	0.4771171483
320	0.4768109286
321	0.4763895333
322	0.4760962534
323	0.4755889189
324	0.4751738713
325	0.4747480204
326	0.4744955738
327	0.4740159803
328	0.4736815313
329	0.4732880297
330	0.4725373735
331	0.4721293452
332	0.4716158154
333	0.4710639548
334	0.4705803329
335	0.4700667116
336	0.4695696311
337	0.4690763654
338	0.4686340041
339	0.4681797712
340	0.4677445512
341	0.4673252311
342	0.4669550148
343	0.4665714316
344	0.4663126372
345	0.4659220958
346	0.4654312716
347	0.4651176361
348	0.4646861697
349	0.4643607542
350	0.4640920414
351	0.463696434
352	0.4633447728
353	0.4629530106
354	0.4626292431
355	0.4621557837
356	0.461703504
357	0.4613286794
358	0.460975828
359	0.4606116543
360	0.460233015
361	0.4595603939
362	0.4590655718
363	0.4588184964
364	0.4584413525
365	0.4581315012
366	0.4578624833
367	0.4575375865
368	0.4569786457
369	0.4566998009
370	0.4565278003
371	0.4559804259
372	0.4556191819
373	0.4552771034
374	0.4550049421
375	0.4545263557
376	0.4542214789
377	0.4538743649
378	0.4532738277
379	0.4528906107
380	0.4525257046
381	0.4520743404
382	0.4514885435
383	0.4510188684
384	0.4506771561
385	0.4501835548
386	0.4498280483
387	0.4493728998
388	0.4488973042
389	0.4483311
390	0.4480094992
391	0.4475216963
392	0.4471812353
393	0.4468869177
394	0.446530221
395	0.4460998534
396	0.4457707146
397	0.445313735
398	0.4449247195
399	0.4445258772
400	0.4441012164
401	0.4437452826
402	0.4433393601
403	0.4429101521
404	0.4424603749
405	0.4421224774
406	0.4415455918
407	0.4411562101
408	0.4406428024
409	0.4403127481
410	0.4399580961
411	0.4395381962
412	0.4391632495
413	0.4387937352
414	0.4382239604
415	0.4378399193
416	0.4373879448
417	0.4370459273
418	0.436786248
419	0.4364060827
420	0.435809635
421	0.4356229247
422	0.4352371441
423	0.4345468835
424	0.4341128536
425	0.4337352824
426	0.4330979709
427	0.4327262592
428	0.4323789926
429	0.4320449099
430	0.4316605942
431	0.4311544498
432	0.4308006523
433	0.430271955
434	0.429792331
435	0.4293410583
436	0.4291172989
437	0.4288335712
438	0.4284472108
439	0.4279616357
440	0.4276223649
441	0.4274378518
442	0.4269468445
443	0.4261647851
444	0.4259741379
445	0.4257289547
446	0.4253062471
447	0.4249873014
448	0.4248418516
449	0.424375442
450	0.4240466694
451	0.4233261957
452	0.4230078299
453	0.4224820623
454	0.4220400977
455	0.4218264703
456	0.4215429563
457	0.4210887539
458	0.4207982511
459	0.420455898
460	0.4201820887
461	0.4198728172
462	0.4193876389
463	0.4192213452
464	0.4187653117
465	0.4184026945
466	0.4179668641
467	0.4176664124
468	0.4172115386
469	0.4166422826
470	0.4161342156
471	0.4158909245
472	0.415452439
473	0.4150168222
474	0.4147454544
475	0.4143466731
476	0.4139955612
477	0.4134160206
478	0.4129488174
479	0.4125461603
480	0.4122498286
481	0.4119526729
482	0.4114316356
483	0.4109499974
484	0.4106243987
485	0.4103685341
486	0.410022946
487	0.4097423007
488	0.4094761514
489	0.4092203479
490	0.4087177436
491	0.4082771829
492	0.407939438
493	0.4075729449
494	0.4072895834
495	0.4070090906
496	0.4065901063
497	0.406281201
498	0.4058932232
499	0.4055117457
500	0.4050208909
501	0.404588448
502	0.4042861347
503	0.4039276069
504	0.4035497306
505	0.4032786069
506	0.4029421132
507	0.4023927551
508	0.4020417653
509	0.4015040651
510	0.4012018433
511	0.4008814633
512	0.4005879697
513	0.4001667881
514	0.3999438831
515	0.3996366869
516	0.3993783504
517	0.3990088055
518	0.3987252304
519	0.3982772232
520	0.3980559967
521	0.397713491
522	0.3973448311
523	0.3969691826
524	0.3969576772
525	0.3966955869
526	0.396479396
527	0.3963259505
528	0.3960601675
529	0.3955660473
530	0.3952965411
531	0.3950572479
532	0.3946583445
533	0.3941734408
534	0.3938075886
535	0.3933309248
536	0.3930825372
537	0.3927422898
538	0.3921718741
539	0.3919274538
540	0.3916069822
541	0.3913436712
542	0.3908266929
543	0.3905888645
544	0.390240072
545	0.3899492336
546	0.3895609505
547	0.3893528469
548	0.3890641142
549	0.3888798758
550	0.3885956904
551	0.3883361026
552	0.3878494288
553	0.3874279725
554	0.3869880221
555	0.3865954665
556	0.3862911695
557	0.3859639534
558	0.3852558396
559	0.3848963962
560	0.3845370139
561	0.3842675077
562	0.384107989
563	0.3839314717
564	0.3836122514
565	0.3834966789
566	0.3832015985
567	0.3827744963
568	0.3823878612
569	0.3819429669
570	0.3813941886
571	0.3811391175
572	0.3808241391
573	0.3802588505
574	0.3800062819
575	0.3796747932
576	0.3791253435
577	0.3787356871
578	0.3783473125
579	0.3780104221
580	0.3777122898
581	0.3774972586
582	0.377267487
583	0.3769407897
584	0.376466781
585	0.376287395
586	0.3761170424
587	0.3760058341
588	0.3757787787
589	0.375391045
590	0.3751895638
591	0.3748919808
592	0.3745564943
593	0.3741162082
594	0.3738019928
595	0.373509781
596	0.3730863715
597	0.3725738489
598	0.3723145967
599	0.3721114371
600	0.3719643699
601	0.3716164014
602	0.371349184
603	0.3710581319
604	0.3708543314
605	0.3705747236
606	0.370442
607	0.3700373286
608	0.3696955553
609	0.3692075998
610	0.3690170442
611	0.3687222384
612	0.3683112192
613	0.3680028939
614	0.367629992
615	0.3670959845
616	0.366795838
617	0.3665163828
618	0.3662100717
619	0.3657825422
620	0.3654638101
621	0.3652014146
622	0.3649359368
623	0.3646523922
624	0.3642287996
625	0.3638579424
626	0.3636396152
627	0.3633960189
628	0.3631795228
629	0.3628773316
630	0.3627040187
631	0.3624689065
632	0.3621824932
633	0.3618416354
634	0.3614603716
635	0.3611335827
636	0.3607797852
637	0.3604788147
638	0.3601010299
639	0.359854748
640	0.3594749795
641	0.3590805318
642	0.3587240487
643	0.3583031722
644	0.3580280506
645	0.3577687985
646	0.3574404532
647	0.3571617305
648	0.3566648942
649	0.3562782896
650	0.3559082564
651	0.3554871053
652	0.355250284
653	0.3550237474
654	0.3548261726
655	0.3544590692
656	0.3539611953
657	0.3535516715
658	0.3532200913
659	0.3527956441
660	0.3526178146
661	0.352418958
662	0.3521582715
663	0.3518649611
664	0.3516328702
665	0.3513046164
666	0.3510855873
667	0.3507689305
668	0.3505108075
669	0.3500562695
670	0.3497999166
671	0.3495399015
672	0.3491626966
673	0.3488815629
674	0.3485754959
675	0.3483135887
676	0.3479166995
677	0.3476349249
678	0.3474837683
679	0.3472001626
680	0.3468884803
681	0.3465855261
682	0.3464130677
683	0.3460672355
684	0.3458439033
685	0.3455241336
686	0.3452731824
687	0.3450258019
688	0.3447665498
689	0.3445637258
690	0.3442178936
691	0.34393264
692	0.3436556873
693	0.3432667634
694	0.3430249372
695	0.3427504565
696	0.3424200664
697	0.3420505521
698	0.3417786959
699	0.3415269208
