iter	Passed	Remaining
0	3	2254
1	6	2242
2	9	2098
3	12	2105
4	15	2106
5	18	2104
6	21	2094
7	24	2090
8	27	2100
9	30	2102
10	33	2112
11	36	2103
12	39	2101
13	42	2094
14	46	2101
15	49	2095
16	52	2093
17	55	2085
18	58	2080
19	61	2074
20	63	2067
21	67	2067
22	70	2061
23	73	2060
24	76	2055
25	79	2052
26	82	2046
27	85	2043
28	88	2045
29	91	2041
30	94	2041
31	97	2036
32	100	2034
33	103	2031
34	106	2027
35	109	2022
36	112	2019
37	115	2014
38	118	2012
39	121	2007
40	124	2006
41	127	2005
42	130	2000
43	134	1999
44	137	1995
45	140	1993
46	143	1990
47	146	1989
48	149	1986
49	152	1987
50	155	1983
51	159	1981
52	162	1980
53	165	1978
54	168	1976
55	171	1972
56	174	1974
57	178	1972
58	181	1970
59	184	1966
60	187	1964
61	190	1961
62	193	1957
63	196	1953
64	199	1950
65	202	1946
66	205	1943
67	208	1939
68	211	1935
69	214	1931
70	217	1928
71	221	1928
72	224	1926
73	227	1924
74	230	1921
75	234	1922
76	237	1919
77	240	1917
78	243	1913
79	246	1911
80	249	1907
81	252	1903
82	255	1900
83	258	1896
84	261	1893
85	264	1890
86	267	1887
87	270	1883
88	274	1881
89	277	1878
90	280	1875
91	283	1872
92	286	1869
93	289	1865
94	292	1863
95	295	1859
96	298	1856
97	301	1852
98	304	1849
99	307	1846
100	310	1843
101	313	1840
102	316	1837
103	320	1834
104	323	1832
105	326	1828
106	329	1826
107	332	1822
108	335	1820
109	338	1817
110	341	1814
111	344	1810
112	347	1807
113	351	1804
114	354	1801
115	357	1798
116	360	1794
117	363	1791
118	366	1787
119	369	1785
120	372	1781
121	375	1778
122	378	1776
123	382	1774
124	385	1771
125	388	1769
126	391	1765
127	394	1763
128	397	1760
129	400	1757
130	403	1753
131	406	1750
132	409	1747
133	412	1743
134	416	1741
135	419	1737
136	422	1734
137	425	1731
138	428	1728
139	431	1725
140	434	1722
141	437	1719
142	440	1716
143	443	1713
144	446	1709
145	449	1706
146	452	1703
147	455	1699
148	458	1696
149	461	1693
150	464	1690
151	467	1687
152	470	1683
153	473	1680
154	477	1677
155	480	1674
156	483	1670
157	485	1667
158	489	1664
159	492	1660
160	495	1657
161	498	1654
162	501	1650
163	504	1647
164	507	1644
165	510	1642
166	513	1639
167	516	1636
168	519	1632
169	522	1629
170	525	1626
171	528	1623
172	531	1620
173	534	1616
174	537	1613
175	540	1610
176	543	1607
177	546	1603
178	549	1600
179	552	1597
180	555	1594
181	558	1590
182	561	1587
183	564	1584
184	567	1581
185	571	1578
186	574	1575
187	577	1572
188	580	1568
189	583	1565
190	586	1562
191	589	1559
192	592	1556
193	595	1552
194	598	1549
195	601	1546
196	604	1543
197	607	1540
198	610	1537
199	613	1534
200	617	1532
201	620	1528
202	623	1525
203	626	1522
204	629	1519
205	632	1516
206	635	1513
207	638	1510
208	641	1507
209	644	1504
210	647	1501
211	650	1498
212	653	1495
213	657	1492
214	660	1489
215	663	1485
216	666	1482
217	669	1479
218	672	1476
219	675	1473
220	678	1470
221	681	1467
222	684	1464
223	687	1461
224	690	1457
225	693	1454
226	696	1451
227	699	1448
228	702	1445
229	705	1442
230	708	1439
231	712	1436
232	715	1433
233	718	1430
234	721	1427
235	724	1424
236	727	1420
237	730	1417
238	733	1414
239	736	1411
240	739	1408
241	742	1405
242	745	1402
243	748	1399
244	751	1395
245	754	1392
246	757	1389
247	760	1386
248	763	1383
249	767	1381
250	770	1377
251	773	1375
252	776	1371
253	779	1368
254	782	1365
255	785	1362
256	788	1359
257	792	1357
258	795	1353
259	798	1350
260	801	1347
261	804	1344
262	807	1341
263	810	1338
264	813	1335
265	816	1332
266	819	1329
267	822	1326
268	825	1323
269	828	1320
270	832	1317
271	835	1313
272	837	1310
273	841	1307
274	844	1304
275	847	1301
276	849	1297
277	853	1294
278	856	1291
279	859	1288
280	862	1285
281	865	1282
282	868	1279
283	871	1276
284	874	1273
285	877	1270
286	880	1267
287	883	1263
288	886	1260
289	889	1258
290	892	1254
291	895	1251
292	898	1248
293	901	1245
294	904	1242
295	908	1239
296	911	1236
297	914	1233
298	917	1230
299	920	1227
300	923	1224
301	926	1220
302	929	1217
303	932	1214
304	935	1211
305	938	1208
306	941	1205
307	944	1202
308	947	1199
309	950	1196
310	954	1193
311	957	1190
312	960	1187
313	963	1184
314	966	1181
315	969	1178
316	972	1174
317	975	1171
318	978	1168
319	981	1165
320	984	1162
321	987	1159
322	990	1156
323	993	1153
324	996	1150
325	999	1146
326	1002	1143
327	1006	1140
328	1009	1137
329	1012	1134
330	1015	1131
331	1018	1128
332	1021	1125
333	1024	1122
334	1027	1119
335	1030	1116
336	1033	1113
337	1036	1110
338	1040	1107
339	1043	1104
340	1046	1101
341	1049	1098
342	1052	1095
343	1055	1092
344	1058	1089
345	1061	1086
346	1064	1082
347	1067	1079
348	1070	1076
349	1073	1073
350	1076	1070
351	1079	1067
352	1082	1064
353	1085	1061
354	1088	1058
355	1091	1054
356	1094	1051
357	1097	1048
358	1100	1045
359	1104	1042
360	1107	1039
361	1110	1036
362	1113	1033
363	1116	1030
364	1119	1027
365	1122	1024
366	1125	1021
367	1128	1018
368	1131	1015
369	1134	1011
370	1138	1009
371	1141	1006
372	1144	1003
373	1147	1000
374	1151	997
375	1154	994
376	1157	991
377	1160	988
378	1163	985
379	1166	982
380	1169	979
381	1172	976
382	1175	973
383	1178	970
384	1181	966
385	1184	963
386	1187	960
387	1191	957
388	1194	954
389	1197	951
390	1200	948
391	1203	945
392	1206	942
393	1209	939
394	1212	936
395	1215	933
396	1218	930
397	1222	927
398	1225	924
399	1228	921
400	1231	918
401	1234	914
402	1237	911
403	1240	908
404	1243	905
405	1246	902
406	1249	899
407	1252	896
408	1255	893
409	1258	890
410	1261	887
411	1264	884
412	1267	881
413	1270	877
414	1273	874
415	1276	871
416	1279	868
417	1282	865
418	1285	862
419	1288	859
420	1291	856
421	1294	853
422	1298	850
423	1301	847
424	1304	843
425	1307	840
426	1310	837
427	1313	834
428	1316	831
429	1319	828
430	1322	825
431	1325	822
432	1328	819
433	1331	816
434	1334	813
435	1337	810
436	1340	806
437	1343	803
438	1346	800
439	1349	797
440	1353	794
441	1356	791
442	1359	788
443	1362	785
444	1365	782
445	1368	779
446	1371	776
447	1374	773
448	1377	769
449	1380	766
450	1383	763
451	1386	760
452	1389	757
453	1392	754
454	1395	751
455	1399	748
456	1402	745
457	1405	742
458	1408	739
459	1411	736
460	1414	733
461	1417	730
462	1421	727
463	1423	724
464	1427	721
465	1430	718
466	1433	715
467	1436	712
468	1439	708
469	1442	705
470	1445	702
471	1448	699
472	1451	696
473	1454	693
474	1457	690
475	1460	687
476	1464	684
477	1467	681
478	1470	678
479	1473	675
480	1476	672
481	1479	669
482	1482	666
483	1486	663
484	1489	660
485	1492	657
486	1496	654
487	1499	651
488	1502	648
489	1505	645
490	1508	642
491	1511	639
492	1515	636
493	1518	633
494	1521	630
495	1524	627
496	1527	623
497	1530	620
498	1533	617
499	1536	614
500	1539	611
501	1542	608
502	1545	605
503	1548	602
504	1551	599
505	1555	596
506	1558	593
507	1561	590
508	1564	587
509	1567	583
510	1570	580
511	1573	577
512	1576	574
513	1579	571
514	1582	568
515	1585	565
516	1588	562
517	1591	559
518	1595	556
519	1598	553
520	1601	550
521	1604	547
522	1607	544
523	1610	540
524	1613	537
525	1616	534
526	1619	531
527	1622	528
528	1625	525
529	1629	522
530	1632	519
531	1635	516
532	1638	513
533	1642	510
534	1645	507
535	1648	504
536	1651	501
537	1655	498
538	1658	495
539	1661	492
540	1664	489
541	1667	486
542	1670	482
543	1673	479
544	1676	476
545	1679	473
546	1682	470
547	1685	467
548	1689	464
549	1692	461
550	1695	458
551	1698	455
552	1701	452
553	1704	449
554	1707	446
555	1710	443
556	1713	439
557	1716	436
558	1719	433
559	1723	430
560	1726	427
561	1729	424
562	1732	421
563	1735	418
