iter	Logloss
0	0.6842477287
1	0.676775706
2	0.6717086907
3	0.6668646836
4	0.663316102
5	0.6605202758
6	0.6588010913
7	0.6565492813
8	0.6541216852
9	0.6532677027
10	0.65149668
11	0.6499389311
12	0.6498833718
13	0.6483907904
14	0.6472745928
15	0.6456666579
16	0.6451803455
17	0.6442978401
18	0.643195683
19	0.6425701411
20	0.6412779369
21	0.6398793012
22	0.6394496735
23	0.6384292752
24	0.6369623051
25	0.6359719558
26	0.6350365973
27	0.6338983186
28	0.6331589388
29	0.6319222584
30	0.6309872878
31	0.6303217545
32	0.6293930154
33	0.6285772984
34	0.6272768235
35	0.626235656
36	0.6250324352
37	0.6238185066
38	0.6231369741
39	0.622099954
40	0.6209944241
41	0.6204082416
42	0.6194449938
43	0.618451079
44	0.6174766516
45	0.6167849521
46	0.616439041
47	0.6156738048
48	0.6143740415
49	0.6134491644
50	0.6125810818
51	0.6119378381
52	0.611814623
53	0.6113936952
54	0.6106916111
55	0.6099671136
56	0.6091075072
57	0.6084045301
58	0.6076109193
59	0.6069205248
60	0.6060276627
61	0.6060132513
62	0.6052421502
63	0.6044673694
64	0.6037524221
65	0.6030674717
66	0.6025047003
67	0.6016315006
68	0.6010686115
69	0.600445118
70	0.5998307893
71	0.5989590776
72	0.5976524462
73	0.5969853417
74	0.5960499318
75	0.5951563944
76	0.5945359412
77	0.5935528235
78	0.5927723243
79	0.5922200234
80	0.5913537419
81	0.5905425126
82	0.5896222513
83	0.5890815572
84	0.5890816626
85	0.5885752346
86	0.5877845627
87	0.5870721084
88	0.5861677788
89	0.5853007814
90	0.5845522028
91	0.5839502224
92	0.5827845228
93	0.5818208511
94	0.580926465
95	0.579783008
96	0.5787410997
97	0.5781870343
98	0.5774261633
99	0.5770399465
100	0.5764576416
101	0.575817609
102	0.5752963165
103	0.5744124988
104	0.5734902951
105	0.5728896055
106	0.5722852215
107	0.5715374092
108	0.5710026388
109	0.5701955228
110	0.5694370563
111	0.5686784456
112	0.567974772
113	0.5673817364
114	0.5668117072
115	0.565902505
116	0.5650298148
117	0.5643087646
118	0.5638852357
119	0.5635461273
120	0.562724628
121	0.5617358108
122	0.560869644
123	0.5601078181
124	0.5592632811
125	0.5585298765
126	0.5578592779
127	0.5570971814
128	0.5565333065
129	0.5558376325
130	0.5548918949
131	0.5541787379
132	0.55317127
133	0.5524058349
134	0.5517041949
135	0.5509175438
136	0.5504645058
137	0.5498622647
138	0.5492373244
139	0.5484109556
140	0.547875278
141	0.5470463702
142	0.5463441611
143	0.5458249681
144	0.5453348183
145	0.5445579357
146	0.5440317666
147	0.5430227928
148	0.542488765
149	0.5419199777
150	0.5412195863
151	0.5400422677
152	0.5393527505
153	0.5387092342
154	0.5379566959
155	0.5374429425
156	0.5365610011
157	0.5360185886
158	0.5354337783
159	0.5348089584
160	0.5341531525
161	0.533198426
162	0.5324722576
163	0.5320419654
164	0.5312671684
165	0.5304154904
166	0.5297534431
167	0.5290077033
168	0.5284415559
169	0.527812232
170	0.5271396813
171	0.5266119184
172	0.526084878
173	0.5254369552
174	0.524736224
175	0.5242665771
176	0.5234823527
177	0.5223772301
178	0.5216901032
179	0.5211768097
180	0.5206836586
181	0.5200804277
182	0.5195243675
183	0.5190637621
184	0.5184654826
185	0.5178215774
186	0.5172246197
187	0.5163973404
188	0.5157013311
189	0.515029752
190	0.514084592
191	0.5136153273
192	0.5129122527
193	0.5123202445
194	0.5114213602
195	0.5106516525
196	0.5098297181
197	0.5093248039
198	0.5084348706
199	0.5078405577
200	0.5072712159
201	0.5068332205
202	0.5063006665
203	0.5057554941
204	0.5050201309
205	0.504349279
206	0.5037783569
207	0.5030102399
208	0.5025141865
209	0.5018915073
210	0.5012753331
211	0.5007741765
212	0.5003065836
213	0.4999307389
214	0.4990559715
215	0.4985789789
216	0.4981945921
217	0.4977483515
218	0.4973199493
219	0.496663446
220	0.4961967935
221	0.4954050686
222	0.4948375395
223	0.4939182069
224	0.4933470249
225	0.4929335466
226	0.4924879328
227	0.4917902072
228	0.4912906922
229	0.4906697634
230	0.4897698298
231	0.4891798079
232	0.4887559824
233	0.4882307241
234	0.4876065576
235	0.4871089718
236	0.4863803919
237	0.4857398371
238	0.4852797339
239	0.4847479156
240	0.4843005986
241	0.4838688466
242	0.4833358667
243	0.4828701129
244	0.4825330689
245	0.4818321449
246	0.4814048465
247	0.4808646207
248	0.4803853822
249	0.4801011253
250	0.4793294014
251	0.4786218892
252	0.4780735728
253	0.4774900041
254	0.476723018
255	0.4761478106
256	0.4757584153
257	0.4749702463
258	0.4744283346
259	0.4737198484
260	0.4731889956
261	0.472560804
262	0.4720107783
263	0.4713883957
264	0.4710554861
265	0.4703683013
266	0.4695093557
267	0.4691492514
268	0.4685468415
269	0.4682575933
270	0.4677356217
271	0.4675522665
272	0.4671534821
273	0.4667161697
274	0.466261661
275	0.4658986327
276	0.4654045708
277	0.4651143113
278	0.4643844078
279	0.4636434989
280	0.4630623583
281	0.4626068171
282	0.4621538934
283	0.4616974822
284	0.4611896101
285	0.4608510487
286	0.4605784998
287	0.4602411211
288	0.4598329789
289	0.4594608017
290	0.4590931692
291	0.4584988168
292	0.4581690845
293	0.4576171429
294	0.4570021484
295	0.4564745908
296	0.4556022855
297	0.4553074742
298	0.4545453908
299	0.4537642033
300	0.453084105
301	0.452755358
302	0.4523193954
303	0.4517812582
304	0.4512499562
305	0.4509407353
306	0.4505925259
307	0.4501783861
308	0.4496189826
309	0.4490754961
310	0.4485669644
311	0.4480974259
312	0.4474500708
313	0.44709262
314	0.4467758642
315	0.4464797265
316	0.4455412024
317	0.4451248319
318	0.4447204758
319	0.4442680833
320	0.4437425148
321	0.4433153262
322	0.4426206922
323	0.4420796751
324	0.4416728721
325	0.4411825339
326	0.4406824447
327	0.4401348726
328	0.4397081606
329	0.4393327469
330	0.4387942363
331	0.4382994435
332	0.4377010554
333	0.4373472224
334	0.4370337337
335	0.4367298521
336	0.4362391481
337	0.4357359976
338	0.435128743
339	0.4348893795
340	0.4343201067
341	0.4340138676
342	0.4338290203
343	0.4330515523
344	0.4324849195
345	0.4321035544
346	0.4316375957
347	0.4312742399
348	0.4307529603
349	0.4302732249
350	0.4298568847
351	0.4294425134
352	0.4291652476
353	0.4286713588
354	0.4282513862
355	0.4279051233
356	0.4273991672
357	0.427072454
358	0.4266898952
359	0.4259454155
360	0.4255998846
361	0.4251461806
362	0.4246502303
363	0.4241929871
364	0.4237144424
365	0.4231837673
366	0.4229062572
367	0.4226818944
368	0.4223994951
369	0.4220657742
370	0.4214997436
371	0.4211630562
372	0.420623458
373	0.4202324522
374	0.4197997594
375	0.4192837982
376	0.4187246262
377	0.4183434663
378	0.4179835208
379	0.4174649918
380	0.4170357311
381	0.4166436841
382	0.416078272
383	0.415366198
384	0.414939874
385	0.41447354
386	0.414152764
387	0.4137877872
388	0.4134122109
389	0.4130066795
390	0.4125771966
391	0.4121734108
392	0.4117715032
393	0.4112749778
394	0.4109660981
395	0.4106042862
396	0.410228632
397	0.4098958509
398	0.4094552277
399	0.4088242676
400	0.4085068221
401	0.4080732266
402	0.4076495291
403	0.4073894906
404	0.4071655683
405	0.4067813256
406	0.4061357277
407	0.4056240144
408	0.4051517283
409	0.4048183824
410	0.4043369591
411	0.4036934832
412	0.4031710928
413	0.4027030269
414	0.4024300827
415	0.40210435
416	0.4015608596
417	0.4011811403
418	0.4008706619
419	0.4006049106
420	0.400336727
421	0.3999285785
422	0.3996386157
423	0.3993985447
424	0.3990407495
425	0.3985818934
426	0.3983955935
427	0.3981268257
428	0.397733219
429	0.3973137962
430	0.3969271795
431	0.3966704297
432	0.3963087411
433	0.3960289631
434	0.3956567618
435	0.3952888872
436	0.3950510337
437	0.3948303895
438	0.3943939509
439	0.3940452601
440	0.3936184816
441	0.3932399788
442	0.3927602982
443	0.3922218198
444	0.3920109635
445	0.3916591407
446	0.3911481073
447	0.3908084999
448	0.3904124097
449	0.3901001649
